no,title,format,cat1,cat2,cat3,what,material,medium,pagelink,imglink,year,month,date,days,In h,hours
89,orientation 101,Object,Projection,,Destruction,Projection installation.,Projector,Physical,https://karynnakamura.com/post/671430751143723008/orientation-101-duchamp-corrected-urinal,https://64.media.tumblr.com/c7f0ab4834901d1130b91ecf1cde401d/09dcf24d65a846b7-12/s1280x1920/63bbbd113b8b5d8ff784d56450efc01bc7f5bba6.jpg,2021,November,11/17/2021,539,12936,0.1
90,SEE NO PIXEL HEAR NO PIXEL SPEAK EVIL,Experience,Projection,,"Destruction, Event",Interactive projection event.,"3 Projectors, Kinect",Physical,https://karynnakamura.com/post/671430059970658304/see-no-pixel-hear-no-pixel-speak-evil-mit-26-100,https://64.media.tumblr.com/ba7f8307e7b1fa2875dc7d9a49bf8458/8ba197112aa45372-c9/s1280x1920/db73f8ade1fa1ce540bd39149cbc0f5bcf3121b6.png,2021,November,11/22/2021,544,13056,40
91,PEACE AND ABSTRACTION,Video,Graphic Design,,,Video filter.,-,Digital,https://karynnakamura.com/post/671431314962104320/peace-and-abstraction-demo-for-my-vision-class,https://64.media.tumblr.com/8509680a311d87b4c968babad2ddf48d/16fbeec04100bb5f-f0/s540x810/221e70ce94383c57d0f19d7b44f875b1fd29231a.gifv,2021,November,11/30/2021,552,13248,0.2
92,Lighting for Ants,Experience,Installation,,"Lighting, ",Light show.,"40 theater lights, a piece of paper, and a nail",Physical,https://karynnakamura.com/post/671613684322287616/lighting-for-ants-micro-lighting-show-for-ants,https://64.media.tumblr.com/934c1d3a1cecd786c15ead37d4a8c04d/7610ff45fa349f2e-b0/s1280x1920/0e0a9d1ed0416c90b1e660aece457027f2081ce4.jpg,2021,December,12/1/2021,553,13272,5
93,MIT Stratton Student Center Third Floor Windows,Experience,Projection,,Event,Rear projection on multiple windows.,"4 projectors, rear projection sheets",Physical,https://karynnakamura.com/post/671616432568729600/mit-stratton-student-center-projection-1292021,https://64.media.tumblr.com/88995bd1b2315b64fbb0c9d235e4ff21/80280b81bf3ee77e-72/s1280x1920/8b4c3c23f9fb9550de9968283fc4fc119d07fa82.png,2021,December,12/9/2021,561,13464,5
94,Gradient map on blowing sheet,Experience,Projection,Installation,"Wind, Perception",Projection installation.,"1 box fan, 1 sheet of voile, 1 projector",Physical,https://karynnakamura.com/post/671433492353122304/gradient-map-on-blowing-sheet-color-below-bw,https://64.media.tumblr.com/0d6e19304f404071d93925bd7ec5fa98/a524c80c94ac52fd-69/s1280x1920/040bcce1a630b488f88e9143af310ba172c995bb.png,2021,December,12/10/2021,562,13488,4
95,Voile Projection 2,Experience,Projection,Installation,Wind,Projection installation.,"7 box fans, 10 sheets of voile, 1 projector",Physical,https://karynnakamura.com/post/671617115653128192/dlsifjefjslaef-longer-video-below,https://64.media.tumblr.com/4547c9892eed4cd674a881f60cc5aef8/2bf97f000a448114-99/s540x810/87b54a5ee7bc58a341dd8262afd75da1aaacdfbc.gifv,2021,December,12/12/2021,564,13536,0.5
96,Voile Projection 1,Experience,Projection,Installation,Wind,Projection installation.,"7 box fans, 10 sheets of voile, 1 projector",Physical,https://karynnakamura.com/post/671616836752769024/pov-u-are-inside-of-ur-computer-longer-video,https://64.media.tumblr.com/fd84de3aab63cd96863fcdd30bb3cd44/a2ff37f179343923-30/s540x810/2d9f354a7838f679338c0efc60297d141ace48b9.gifv,2021,December,12/13/2021,565,13560,0.5
97,ACTIVATE GLOSS,Experience,Projection,Installation,"Wind, Perception, Lighting",Projection installation.,"7 box fans, 10 sheets of voile, 1 projector",Physical,https://karynnakamura.com/post/671795455718555648/activate-gloss-video-below,https://64.media.tumblr.com/a49688fb457326fbaa477ea1816289b7/34a5e8146ec428dc-46/s1280x1920/c3a7c291f2fd5276ecc175f2023aad5ea1930afe.png,2021,December,12/14/2021,566,13584,2
98,Nothing.,Experience,Installation,,"Wind, Perception, Lighting",Lighting installation.,"7 box fans, 4 theater lights, 10 sheets of voile",Physical,https://karynnakamura.com/post/671644114900631552/nothing-an-enclosure-of-air-air-flow-is-this,https://64.media.tumblr.com/21e5b93fb59c0514262251ae406cd4c1/5b3c102a1f232b7d-9a/s1280x1920/d0142f901d0e1b65c97bd01652eea2db2599d638.jpg,2021,December,12/15/2021,567,13608,100
